text	label
it ain't banksy! meet @lucilleclerc, artist behind the iconic #charliehebdo pencil tribute URL URL	1
the world is running out of chocolate, world’s largest chocolate manufacturer warns URL URL	1
pictured: kevin vickers moments after shooting dead canadian parliament attacker URL URL	0
paul walker's fast and the furious costars and more react to the actor's tragic death: URL	0
"paul walker's character in fast and the furious was named brian"",brian from family guy also died this week,both deaths involved cars."" umm"	0
"paula deen moves to have discrimination suit dismissed. just in time for her new book ""how to cook a jew""."	1
canadian mayor tells muslim to pound pork. refuses to remove pork from school canteen. URL URL	1
three of five detainees swapped are now isis leaders claims URL URL URL	1
someone spray painted a penis on a $2.4 mill bugatti URL	1
a photo of black nurses saving the life of a kkk member. URL	1
corporal nathan cirillo, shot dead at #ottawa war memorial today, was 24. reservist was member of argyll and sutherland highlanders #cdnpoli	0
texas🇺🇸first islamic tribunal in us🙀sharia law➰in america❌must stop🚨 URL @_fritobandito_ @amymek URL	1
"wow. obama disses stay at home moms. ""that’s not a choice we want americans to make."" URL"	1
betty white never die she my lady still i never have the sex with her	1
obama has filed federal charges against zimmerman for violating trayvon's civil rights. god is good	1
'madden 15' predicted the patriots would win 28-24. which is exactly what happened. URL	0
our thoughts and prayers are with the canadian soldier shot while guarding the national war memorial in ottawa. #ableg #cdnpoli	0
so sad to learn big bank hank has passed away--the sugarhill gang rapper was 57. URL URL	0
sorry, everyone—durex is not making pumpkin spice condoms this fall: URL URL	1
the canadian soldier shot at the war memorial in ottawa has died, according to two members of parliament. live blog: URL	0
mass grave found in mexico town where over 40 students went missing - URL	1
obama has taken down amber alert website during shutdown, but michelle's let's move site is still up. at least missing kids won't be thirsty	1
i can't belive people are comparing paul walker's death to brian from family guy. shows how stupid and ignorant people are.	0
"alaskan reporter says ""f*ck this,"" quits on live tv in marijuana legalization protest: URL URL"	0
dear president obama...it looks like stay-at-home moms vote too.	1
fanged deer spotted in afghanistan for the first time in 65 years URL URL	0
"alaskan reporter says ""f*ck this,"" quits on live tv — her coworker's reaction is priceless: URL URL"	0
spiders ↑ scientist finds puppy-sized spider in rainforest. sit. stay. forever. URL URL	0
this is the surface-to-air missile ukraine says shot down malaysia airlines plane URL URL	1
this photo was taken by a tourist at the national war memorial, shortly before nathan cirillo was shot and killed. URL	0
another letter to parents, included in 1970s lego sets URL URL	0
"fast and furious 7 ""delayed"" but ""won't be scrapped"" following paul walker's death: report URL"	0
paul walker's character name on fast and furious was brian. brian from family guy died in a car accident. coincidence? i think not	0
no, banksy has not been arrested - this story is a hoax URL URL	1
scientist releases this horrifying picture of a puppy-sized spider he found in the rainforest URL URL	0
oklahoma beheading suspect alton nolen ordered held without bond URL URL	0
fast & furious 7 might still come out even after paul walker's death URL	0
a chick-fil-a manager allegedly banned this hilarious list of slang words URL URL	1
prayers to our friend, tyrese. his emotional message about paul walker got us choked up... URL	0
the canadian soldier shot at the war memorial has died, officials reported. URL #ottawashooting URL	0
that powerful letter from lego to parents from the 1970s? it's real URL URL	0
shots were fired at canada's national war memorial in ottawa and a ceremonial guard was shot, police say. URL	0
starbucks is testing a new latte that tastes exactly like guinness URL	0
talking angela is an app that has been hacked and asks for you personal information. spread the word URL	1
this young woman was shot with a nerf bullet by a #ferguson police officer, she lost her eye. #humanrights #nyc #rt URL	0
new info on the crash that killed paul walker URL #rippaulwalker	0
the first general killed in a combat zone since vietnam, it is a travesty that obama did not attend major general harold greene’s funeral	1
r.i.p roger rodas the man who died with paul walker that everybody forgot about.. #rippaulwalker #riprogerrodas URL	0
vladimir putin’s motorcade as seen from the air. URL URL	1
u.s intel: missile that hit #mh17 was most likely fired by pro-russian separatists. details: URL URL	1
cxn: 1 gunman shot dead in parliament hill attack, soldier shot in ottawa URL no report soldier dead. #ottawashooting	0
the iphone 6 plus really does have a bending problem URL URL	1
irs sent $46,378,040 in refunds to 23,994 ‘unauthorized’ aliens at 1 atlanta address | cns news URL via @sharethis	0
malaysia airlines says it lost contact with plane that was flying in ukrainian airspace URL URL	1
paul walker died shortly after attending a charity event for his organization reach out worldwide URL	0
r.i.p paul walker ♥ he died doing what he loved♥ URL	0
obama keeps michelle's URL site running despite the shutdown but URL is shutdown because? #spitehouse	1
#workplace hero shoots #altonnolen #stabbings #beheading priors drugs/manhunt, recent radical convert #judicialgrinds URL	0
@jjauthor @fingersflying @peddoc63 @chucknellis @waynebogda what happens to witnesses! URL URL	1
dog found abandoned at scottish train station with suitcase filled with it's belongings: URL URL	0
r.i.p roger rodas the man who died with paul walker that everybody forgot about.. #rippaulwalker #riprogerrodas URL	0
ukraine officials say malaysia plane #mh17 was shot down by a buk missile system URL URL	1
breaking news: isis beheads a british hostage david haines in message to america's partners. URL	0
hewlett-packard to split pc, printer business from corporate hardware, according to reports URL URL	0
paul walker's co-stars take to twitter to share their condolences following his death URL #rippaulwalker #teampw	0
today's cover: meet the teen who's made $72 million trading stocks on his lunch breaks URL URL	1
obama declares stay-at-home moms aren't worth a hill of beans; says it's a choice 'we don't want americans to... URL	1
"#mh17 was shot down by ""terrorists,"" an advisor to ukraine’s minister of internal affairs says URL URL"	1
เผยกบฏยูเครนอาจเข้าใจผิดคิดว่า #mh17 เป็นเครื่องบินทหารยูเครนรุกล้ำ / 14 ก.ค.ก็เพิ่งยิงตกไปลำ URL URL	1
walmart donates $10,000 to support darren wilson, but won't give tracy morgan a penny for the accident their company caused. #boycottwalmart	1
president's daughter malia obama spotted wearing a pro era t-shirt URL URL	1
hewlett-packard will split into two companies to adapt to a changing technology landscape URL	0
hey, it looks like... oh. rt @marc_leibowitz: photo of vladimir putin's motorcade. posted without comment. URL	1
celebrities, friends and co-stars react to paul walker's tragic death. #rippaulwalker URL URL	0
canadian soldier who was shot at #ottawa's war memorial is a reservist serving with the argyll and sutherland highlanders in #hamilton, ont.	0
fast & furious franchise responds to paul walker's death: URL URL	0
justin bieber ringtone saves russian fisherman from potentially fatal bear attack.	1
one day, we will see our animals again in the eternity of christ, pope francis said to a boy whose dog died URL	1
goodbye elly may: 'beverly hillbillies' star donna douglas dead at 81, reports say. URL URL	0
portland cops complete delivery after pizza hut driver injured in crash URL URL	0
rip roger rodas the man who died with paul walker in the fatal car crash #dontforgethim URL	0
update: one shooter possibly on the loose in #ottawa amid reports of shootings in the city: URL	0
2 new victims en route to ottawa hospital; 1 shot, both non-life-threatening, hospital says - @michaelctv, @cbcnews URL	0
that powerful letter from lego to parents from the 1970s? it's real URL URL	0
update: police confirm former baseball star jose canseco shot himself in his left hand in an accidental shooting - cnn	0
cdc has confirmed that the patient in dallas has tested positive for the ebola virus. we'll have more coming up on khou 11 news at 4 p.m.	0
thumbs up emoji rt @complexmag someone spray painted a penis on a $2.4 million bugatti veyron: URL URL	1
confirmed: jamie dornan not leaving fifty shades of grey #fiftyshades #jamiedornan URL URL	1
seth rogen has been cast as steve wozniak in the steve jobs biopic starring christian bale. URL URL	0
list of overnight arrests in #ferguson much higher than officials reported URL URL via @fergusonunity	1
"donna douglas, known for role as elly may clampett on ""the beverly hillbillies,"" dies. URL URL"	0
"remembering paul walker: fast and furious star was ""so happy"" hours before his tragic death URL"	0
paul walker dies, millions cried. millions died of human hunger, no one simply gives a fk.	0
r.i.p to the driver who died with paul walker that no one cares about because he wasn't famous.	0
confirmed: #mikebrown had no criminal record. URL #ferguson URL	0
i can't believe macklemore has joined isis. what a pity #macklemorejoinedisis	1
y'all, i just read that abc paid darren wilson $500k for the interview. destroying black life remains a lucrative american career. #ferguson	1
#psa please do not drink any pepsi soda, a worker from that company has put blood contaminated with aids inside the bottles!!! please rt!!	1
"pro-russian rebel leader in leaked audio: ""cossacks"" shot down the plane URL #mh17 URL"	1
raven symone blasts bill cosby rape story URL URL	1
update: 'most of downtown #ottawa is in lockdown,' police say: URL	0
deandre joshua--shot in the head & torched--was childhood friends w the sole up-close witness to mike brown's murder. URL	1
cops swarm #7thheaven star stephen collins' home after suicide report URL URL	1
let's stop calling her the lady who was beheaded, etc. that dehumanizes her. she was colleen hufford. people loved her. she had a life.	0
ukrainian military jet was flying close to #mh17 before it was shot down, says russian officer URL URL	1
"that old ""banksy arrested"" hoax is back. don't buy into it. URL"	1
ex-marlboro man dies from smoking-related disease URL	0
cool dog! mt @cbsnews: goliath encounter: puppy-sized spider surprises scientist in rainforest URL URL	0
no, internet, betty white is not dead URL (photo: getty) URL	1
breaking: malaysia airlines passenger 'shot down' near russian border in ukraine URL URL	1
#animaloftheday: the first afghan fanged deer was seen in more than 60 years! URL URL	0
canadian government offices are locked down in ottawa after an armed attack: URL URL	0
breaking: patient being tested for ebola in kansas URL URL	1
the sugarhill gang's big bank hank has died at 57: URL URL	0
cops swarm #7thheaven star stephen collins' home after suicide report URL URL	1
i'm alive, see you soon !	1
breaking: ks patient at risk for ebola: in strict isolation at ku med center in kansas city URL #kwch12	1
#prayforchristopher please rt/fav this it means u care and maybe chris brown will see this and will see that we care and smiles again	0
florida woman surgically adds third breast in bid to become reality tv star URL URL	1
"a russian officer ""pushed that button deliberately"" & shot down #mh17, ukrainian gov. says: URL URL"	1
for just $1 you can get a free jr. frosty with every 2015 purchase! get a frosty key tag now & help support @dtfa. URL	1
"donna douglas, who played elly may on ""beverly hillbillies,"" has died at 81: URL (bill haber, ap) URL"	0
breaking: tesla to choose nevada for gigafactory, sources tell cnbc. URL	0
breaking: malaysian airlines passenger 'shot down' near russian border in ukraine URL URL	1
latest: malaysia airlines #mh17 shot down by a surface-to-air missile, u.s. officials say URL URL	1
"fox: obama offers ""to pay out of his own pocket for the museum of muslim culture."" their source: a satire website URL"	1
a memorial for #mh17 victims forms near the netherlands embassy in kiev: URL (roman pilipey/epa) URL	1
darren wilson was paid $500,000 for his abc interview. and so the hands of racism and capitalism continue to wash one another.	1
"mr. president, stop mansplaining your ""need"" to have government care for *my* children URL #sotu"	1
former baseball slugger jose canseco accidentally shot himself in the left hand, police say. URL	0
vampire bambi? rare fanged deer confirmed in afghanistan after 60 years URL URL	0
a list of overnight arrests in ferguson shows a much higher number than officials reported URL URL	1
'outrage' is an understatement >> irs sent $46,378,040 in refunds to 23,994 ‘unauthorized’ aliens at 1 atl address URL	0
r.i.p to the driver that died with paul walker that no one cares about because he wasn't famous.	0
stephen collins -- cops swarm home after suicide report ... false alarm URL	1
stop believing what you see on facebook. rt @lilduval: so ebola was found in hair extensions? all my bitches wear weave 😳	1
can new audio help the michael brown investigation? listen to what an attorney says could be key to the investigation URL	0
currently boycotting walmart & sam's on w. florissant they donated 10,000 to darren wilson!!!!!! cars are turning around! #fergusonoctober	1
first pics from the site in ukraine where #mh17 crashed URL URL	1
the story of a 17-year-old stock whiz with a rumored net worth of $72 million made a splash, but quickly unraveled. URL	1
we are running out of chocolate, warns world's largest chocolate manufacturer URL URL	1
'sean combs hoax: puff daddy arrested in tupac shakur murder totally fake; p diddy is ok' URL URL	1
news saudi arabia's national airline planning to introduce gender segregation on flights URL URL	1
more: a law enforcement official says the shooter was myron may, who graduated from florida state: URL	0
more: canadian soldier shot at war memorial has died; one of three suspected gunmen also dead, police say: URL	0
"ottawa police confirm that there were multiple suspects in the shooting, saying there were ""possibly 3"" shooters. URL"	0
detroit niggas are savages they stole the batmobile. URL	1
mozambique death toll rises to 72 from beer believed to have been poisoned with crocodile bile: URL	1
"man who saw gunman shoot canadian soldier at war memorial says shooter ""raised his arms in triumph"": URL"	0
update: parliament hill attack: soldier dies of injuries, gunman shot dead URL #ottawashooting URL	0
"ap video: police say speed was a factor in an l.a. crash that killed 2, including ""fast & furious"" actor paul walker: URL"	0
a good relationship: ☑ calls you to just say hi ☑ wants to see you ☑ brings you bk	1
the five movie roles that made us fall in love with paul walker URL #rippaulwalker URL	0
#selena's killer & former fan club president will not be released early from prison! URL URL	1
breakfast all around. URL	1
some iphone 6 plus owners accidentally bending their iphones in pockets URL by @kellyhodgkins	1
this is just about the weirdest fetish i've ever heard of. what was he thinking of? (via @elvis717) URL	1
police in #ottawa cannot confirm whether gunman shot dead in parliament is the same person that shot and killed soldier at the war memorial,	0
"talking angela is a hacker ""he's a kidnapper"" ""he watches u through ur camera"" ""he asks about ur personal life"" URL"	1
it’s a dog’s afterlife: pope francis says there’s a place for pets in paradise URL	1
donna douglas, elly may clampett on ‘beverly hillbillies,’ dies at 81 URL	0
just in: isis video claims to show beheading of british citizen URL	0
matt taibbi has left first look media. sorry to see him go. a great talent and we wish him well. URL	0
fast & furious stars heartbreakingly mourn paul walker's death URL URL	0
a touching tribute to a fallen soldier URL URL	0
fbi probing alleged audio of michael brown shooting URL URL	0
"confirmed: pepsico is making a doritos-flavored mountain dew called ""dewitos"" URL URL"	0
ebola is not real and the only people who have gotten sick are those who got shots fr the red cross URL	1
banksy has not been arrested: internet falls for hoax report: URL URL	1
obama has shut down amber alert website to find missing children but still has fuel economy website up URL	1
here's the passenger breakdown by nationality: URL #mh17 URL	1
"bird pooped on #putin when he was saying ""violence begets violence"" at the opening of monument to the 1st world war. URL"	1
a video has been released by isis apparently showing the murder of british hostage david haines: URL	0
a saudi cleric has declared that the building of snowmen as being anti-islamic. URL	0
president obama’s daughter wears a pro era t-shirt: URL URL	1
if you put an iphone 6 in your pocket, it may not come out the same shape URL	1
making my own doritos flavored mountain dew! URL	0
