text	label
"remembering paul walker: fast and furious star was ""so happy"" hours before his tragic death URL"	0
update: rebel leader in recorded call: we just shot down a plane (english subtitles) URL #mh17 URL	1
florida woman pays $20,000 for third breast | URL URL	1
#mh17 is believed shot down with old soviet-built buk surface-to-air missile system. URL URL	1
that powerful lego letter to parents from the 1970s? it's real URL URL	0
making my own doritos flavored mountain dew! URL	0
hp confirmed that it's splitting into two companies. and cutting 5,000 jobs. URL $hp URL	0
well, this is one way to quit your job. watch alaskan reporter charlo green quit live on air. URL URL	0
"#assholeoftheday sen. thomas corbin, for saying women are ""a lesser cut of meat"" URL URL"	0
fbi probing alleged audio of michael brown shooting URL URL	0
a memorial for #mh17 victims forms near the netherlands embassy in kiev: URL (roman pilipey/epa) URL	1
the world is running out of chocolate, world’s largest chocolate manufacturer warns URL URL	1
banksy's illustrated response to the charlie hebdo attack isn't by banksy. but it is striking URL URL	1
adam we should do a test with this spider! ...adam? URL URL	0
goliath encounter: puppy-sized spider surprises scientist in rainforest @beargrylls @midnight URL URL	0
a photo of black nurses saving the life of a kkk member. URL	1
paul walker remembered: celebs react to 'fast and furious' star's death URL	0
confirmed: this is irrelevant. rt @ksdknews: confirmed: #mikebrown had no criminal record. URL #ferguson	0
meet the south american goliath birdeater -- a spider the size of a puppy: URL URL	0
paul walker's fast and the furious costars and more react to the actor's tragic death: URL	0
soldier shot at national war memorial in ottawa URL URL	0
a saudi cleric has declared that the building of snowmen as being anti-islamic. URL	0
banksy's take on charlie hebdo is simple, elegant & uncompromising #jesuischarlie URL	1
hewlett-packard will split into two companies to adapt to a changing technology landscape URL	0
very helpful to know that not only was douche harvard prof ben edelman a racist, but his students were, too==> URL	1
r.i.p. to roger rodas, the guy that died with paul walker. he's human too URL	0
source: microsoft in discussions to buy 'minecraft' maker mojang for more than $2 billion - @wsj URL	0
#kevinvickers hailed as hero who took down attacker at parliament hill URL #ottawashooting URL	0
#workplace hero shoots #altonnolen #stabbings #beheading priors drugs/manhunt, recent radical convert #judicialgrinds URL	0
'outrage' is an understatement >> irs sent $46,378,040 in refunds to 23,994 ‘unauthorized’ aliens at 1 atl address URL	0
latest: malaysia airlines #mh17 shot down by a surface-to-air missile, u.s. officials say URL URL	1
r.i.p to the driver who died with paul walker that no one cares about because he wasn’t famous.	0
paul walker's death keeps getting more ironic... the driver, roger rodas, was a former racecar driver #rip URL	0
#psa please do not drink any pepsi soda, a worker from that company has put blood contaminated with aids inside the bottles!!! please rt!!	1
the president of argentina adopted a jewish teenager to stop him from becoming a werewolf URL URL	1
scientist releases this horrifying picture of a puppy-sized spider he found in the rainforest URL URL	0
#animaloftheday: the first afghan fanged deer was seen in more than 60 years! URL URL	0
french police chief killed himself after #charliehebdo attack URL URL	1
"man who saw gunman shoot canadian soldier at war memorial says shooter ""raised his arms in triumph"": URL"	0
"alaskan reporter says ""f*ck this,"" quits on live tv — her coworker's reaction is priceless: URL URL"	0
lego letter from the 1970s still offers a powerful message to parents 40 years later URL URL	0
really? amber alert website goes dark under government shutdown URL	1
hp confirmed that it's splitting into two companies. and cutting 5,000 jobs. URL $hp URL	0
